# Diabetic Retinopathy Dataset Manifest
# Generated: 25-Dec-2025 12:25:35
# Student: Karthikeya Vaitla (vaitlak@roehampton.ac.uk)
# Course: Applications of Data Science - University of Roehampton
# Format: filename,class,size_bytes
#
25.jpg,Healthy,661417
26.jpg,Healthy,846341
27.jpg,Healthy,608788
28.jpg,Healthy,687988
29.jpg,Healthy,787303
3.jpg,Healthy,813474
30.jpg,Healthy,723950
31.jpg,Healthy,356928
32.jpg,Healthy,328179
33.jpg,Healthy,335606
34.jpg,Healthy,334288
35.jpg,Healthy,354028
36.jpg,Healthy,367396
37.jpg,Healthy,373238
38.jpg,Healthy,363221
39.jpg,Healthy,347574
4.jpg,Healthy,827048
40.jpg,Healthy,347548
41.jpg,Healthy,352235
42.jpg,Healthy,347567
43.jpg,Healthy,360224
44.jpg,Healthy,353508
45.jpg,Healthy,357327
46.jpg,Healthy,370975
47.jpg,Healthy,371774
48.jpg,Healthy,314355
49.jpg,Healthy,309526
5.jpg,Healthy,832653
50.jpg,Healthy,368485
51.jpg,Healthy,386665
52.jpg,Healthy,330750
53.jpg,Healthy,308825
54.jpg,Healthy,354873
55.jpg,Healthy,352371
56.jpg,Healthy,356699
57.jpg,Healthy,361932
58.jpg,Healthy,354285
59.jpg,Healthy,335124
6.jpg,Healthy,932303
60.jpg,Healthy,342330
61.jpg,Healthy,334597
62.jpg,Healthy,345235
63.jpg,Healthy,340195
64.jpg,Healthy,338349
65.jpg,Healthy,343327
66.jpg,Healthy,345881
67.jpg,Healthy,344117
68.jpg,Healthy,358658
69.jpg,Healthy,325565
7.jpg,Healthy,913748
70.jpg,Healthy,369121
71.jpg,Healthy,371146
72.jpg,Healthy,328774
73.jpg,Healthy,357245
74.jpg,Healthy,360879
75.jpg,Healthy,361105
76.jpg,Healthy,370280
77.jpg,Healthy,373559
78.jpg,Healthy,448483
79.jpg,Healthy,407941
8.jpg,Healthy,628305
80.jpg,Healthy,404770
81.jpg,Healthy,410311
82.jpg,Healthy,389818
83.jpg,Healthy,339488
84.jpg,Healthy,340951
85.jpg,Healthy,347164
86.jpg,Healthy,341923
87.jpg,Healthy,365419
88.jpg,Healthy,361796
89.jpg,Healthy,369772
9.jpg,Healthy,832749
90.jpg,Healthy,367590
91.jpg,Healthy,362364
92.jpg,Healthy,370513
93.jpg,Healthy,345672
94.jpg,Healthy,362320
95.jpg,Healthy,353864
96.jpg,Healthy,356565
97.jpg,Healthy,329496
98.jpg,Healthy,318270
99.jpg,Healthy,324254
188.jpg,DR,655357
189.jpg,DR,631570
190.jpg,DR,888619
191.jpg,DR,662789
192.jpg,DR,510918
193.jpg,DR,503799
194.jpg,DR,559110
195.jpg,DR,473363
196.jpg,DR,481610
197.jpg,DR,642331
198.jpg,DR,575348
199.jpg,DR,595438
200.jpg,DR,623336
201.jpg,DR,522544
202.jpg,DR,577816
203.jpg,DR,537760
204.jpg,DR,746423
205.jpg,DR,832100
206.jpg,DR,677030
207.jpg,DR,584530
208.jpg,DR,532905
209.jpg,DR,534959
210.jpg,DR,503836
211.jpg,DR,577794
212.jpg,DR,537760
213.jpg,DR,746378
214.jpg,DR,832100
215.jpg,DR,677056
216.jpg,DR,584549
217.jpg,DR,532905
218.jpg,DR,534978
219.jpg,DR,510918
220.jpg,DR,559424
221.jpg,DR,473363
222.jpg,DR,481649
223.jpg,DR,642331
224.jpg,DR,575348
225.jpg,DR,595438
226.jpg,DR,623336
227.jpg,DR,522570
228.jpg,DR,689943
229.jpg,DR,556741
230.jpg,DR,719244
231.jpg,DR,651456
232.jpg,DR,489798
233.jpg,DR,792235
234.jpg,DR,654052
235.jpg,DR,912271
236.jpg,DR,660556
237.jpg,DR,728750
238.jpg,DR,345628
239.jpg,DR,339831
240.jpg,DR,350100
241.jpg,DR,342272
242.jpg,DR,349026
243.jpg,DR,333330
244.jpg,DR,328776
245.jpg,DR,335365
246.jpg,DR,335365
247.jpg,DR,368663
248.jpg,DR,343862
249.jpg,DR,528303
250.jpg,DR,534783
251.jpg,DR,332809
252.jpg,DR,333742
253.jpg,DR,341477
254.jpg,DR,339149
255.jpg,DR,335033
256.jpg,DR,377396
257.jpg,DR,368520
258.jpg,DR,351717
259.jpg,DR,368203
260.jpg,DR,306439
261.jpg,DR,318855
262.jpg,DR,307804
263.jpg,DR,311319
264.jpg,DR,312398
265.jpg,DR,311367
266.jpg,DR,374106
267.jpg,DR,345145
268.jpg,DR,340336
269.jpg,DR,343910
270.jpg,DR,499045
271.jpg,DR,343754
272.jpg,DR,462512
273.jpg,DR,412730
274.jpg,DR,520955
275.jpg,DR,553121
276.jpg,DR,584362
277.jpg,DR,580955
278.jpg,DR,659721
279.jpg,DR,516219
280.jpg,DR,531979
281.jpg,DR,579093
282.jpg,DR,797496
283.jpg,DR,546976
284.jpg,DR,526183
285.jpg,DR,838901
286.jpg,DR,530496
287.jpg,DR,879137
288.jpg,DR,782925
289.jpg,DR,616632
290.jpg,DR,664977
291.jpg,DR,753402
292.jpg,DR,525842
293.jpg,DR,558308
294.jpg,DR,765826
295.jpg,DR,624851
296.jpg,DR,723576
297.jpg,DR,817375
298.jpg,DR,798245
299.jpg,DR,702671
300.jpg,DR,571187
301.jpg,DR,651925
302.jpg,DR,710859
303.jpg,DR,695401
304.jpg,DR,713473
305.jpg,DR,696830
306.jpg,DR,657344
307.jpg,DR,601058
308.jpg,DR,689165
309.jpg,DR,820107
310.jpg,DR,844919
311.jpg,DR,722541
312.jpg,DR,506747
313.jpg,DR,507417
314.jpg,DR,530356
315.jpg,DR,804956
316.jpg,DR,830832
317.jpg,DR,672064
318.jpg,DR,885919
319.jpg,DR,741277
320.jpg,DR,734153
321.jpg,DR,905780
322.jpg,DR,822180
323.jpg,DR,924649
324.jpg,DR,645767
325.jpg,DR,640145
326.jpg,DR,495506
327.jpg,DR,589556
328.jpg,DR,484690
329.jpg,DR,607041
330.jpg,DR,598199
331.jpg,DR,762340
332.jpg,DR,763229
333.jpg,DR,639916
334.jpg,DR,506256
335.jpg,DR,568617
336.jpg,DR,604306
337.jpg,DR,603019
338.jpg,DR,538154
339.jpg,DR,591780
340.jpg,DR,579409
341.jpg,DR,665026
342.jpg,DR,613890
343.jpg,DR,636441
344.jpg,DR,599189
345.jpg,DR,609038
346.jpg,DR,330665
347.jpg,DR,331827
348.jpg,DR,344791
349.jpg,DR,315796
350.jpg,DR,329668
351.jpg,DR,331330
352.jpg,DR,328033
353.jpg,DR,311586
354.jpg,DR,332430
355.jpg,DR,321467
356.jpg,DR,690312
357.jpg,DR,725554
358.jpg,DR,595202
359.jpg,DR,840395
360.jpg,DR,809845
361.jpg,DR,644776
362.jpg,DR,642717
363.jpg,DR,902898
364.jpg,DR,952480
365.jpg,DR,863514
366.jpg,DR,856455
367.jpg,DR,856064
368.jpg,DR,844786
369.jpg,DR,799677
370.jpg,DR,799550
371.jpg,DR,678557
372.jpg,DR,714602
373.jpg,DR,756165
374.jpg,DR,571495
375.jpg,DR,744240
376.jpg,DR,826526
377.jpg,DR,834342
378.jpg,DR,846292
379.jpg,DR,719573
380.jpg,DR,591202
381.jpg,DR,755732
382.jpg,DR,637467
383.jpg,DR,795878
384.jpg,DR,850497
385.jpg,DR,820450
386.jpg,DR,778396
387.jpg,DR,617991
388.jpg,DR,328515
389.jpg,DR,327029
390.jpg,DR,495528
391.jpg,DR,589586
392.jpg,DR,484707
393.jpg,DR,607043
394.jpg,DR,598199
395.jpg,DR,762340
396.jpg,DR,763277
397.jpg,DR,639782
398.jpg,DR,506265
399.jpg,DR,568617
400.jpg,DR,604333
401.jpg,DR,602664
402.jpg,DR,538163
403.jpg,DR,592000
404.jpg,DR,579409
405.jpg,DR,665026
406.jpg,DR,613871
407.jpg,DR,636407
408.jpg,DR,599139
409.jpg,DR,609023
410.jpg,DR,586472
411.jpg,DR,328647
412.jpg,DR,585645
413.jpg,DR,587727
414.jpg,DR,786018
415.jpg,DR,719057
416.jpg,DR,619887
417.jpg,DR,718811
418.jpg,DR,606105
419.jpg,DR,865073
420.jpg,DR,743868
421.jpg,DR,692358
422.jpg,DR,783374
423.jpg,DR,559835
424.jpg,DR,572414
425.jpg,DR,616000
426.jpg,DR,624577
427.jpg,DR,760007
428.jpg,DR,685589
429.jpg,DR,632437
430.jpg,DR,850016
431.jpg,DR,840477
432.jpg,DR,772228
433.jpg,DR,809789
434.jpg,DR,347244
435.jpg,DR,351694
436.jpg,DR,339654
437.jpg,DR,771056
438.jpg,DR,787379
439.jpg,DR,734687
440.jpg,DR,583495
441.jpg,DR,341209
442.jpg,DR,342995
443.jpg,DR,305596
444.jpg,DR,301639
445.jpg,DR,339335
446.jpg,DR,335143
447.jpg,DR,678846
448.jpg,DR,337278
449.jpg,DR,613495
450.jpg,DR,609020
451.jpg,DR,537396
452.jpg,DR,469911
453.jpg,DR,725348
454.jpg,DR,858778
455.jpg,DR,659066
456.jpg,DR,847278
457.jpg,DR,721960
458.jpg,DR,581170
459.jpg,DR,756620
460.jpg,DR,728659
461.jpg,DR,755984
462.jpg,DR,701131
463.jpg,DR,754804
464.jpg,DR,747390
465.jpg,DR,656201
466.jpg,DR,660695
467.jpg,DR,856269
468.jpg,DR,680620
469.jpg,DR,885329
470.jpg,DR,754019
471.jpg,DR,837209
472.jpg,DR,833482
473.jpg,DR,771328
474.jpg,DR,716395
475.jpg,DR,663068
476.jpg,DR,916820
477.jpg,DR,838155
478.jpg,DR,733366
479.jpg,DR,656495
480.jpg,DR,776359
481.jpg,DR,946847
482.jpg,DR,703435
483.jpg,DR,704500
484.jpg,DR,868269
485.jpg,DR,904285
486.jpg,DR,558253
487.jpg,DR,551892
488.jpg,DR,805911
489.jpg,DR,687809
490.jpg,DR,745615
491.jpg,DR,553121
492.jpg,DR,651403
493.jpg,DR,779481
494.jpg,DR,765843
495.jpg,DR,597700
496.jpg,DR,836672
497.jpg,DR,786505
498.jpg,DR,341553
499.jpg,DR,348341
500.jpg,DR,342363
501.jpg,DR,346432
502.jpg,DR,345137
503.jpg,DR,324948
504.jpg,DR,327591
505.jpg,DR,344207
506.jpg,DR,337263
507.jpg,DR,343134
508.jpg,DR,346798
509.jpg,DR,335166
510.jpg,DR,346098
511.jpg,DR,343503
512.jpg,DR,339170
513.jpg,DR,342487
514.jpg,DR,545389
515.jpg,DR,471254
516.jpg,DR,464659
517.jpg,DR,448480
518.jpg,DR,449336
519.jpg,DR,415013
520.jpg,DR,414985
521.jpg,DR,418968
522.jpg,DR,467186
523.jpg,DR,480249
524.jpg,DR,484910
525.jpg,DR,411997
526.jpg,DR,649457
527.jpg,DR,628803
528.jpg,DR,611282
529.jpg,DR,613418
530.jpg,DR,316354
531.jpg,DR,332322
532.jpg,DR,343002
533.jpg,DR,339696
534.jpg,DR,336117
535.jpg,DR,348547
536.jpg,DR,343689
537.jpg,DR,403140
538.jpg,DR,421974
539.jpg,DR,312588
540.jpg,DR,315944
541.jpg,DR,335402
542.jpg,DR,338500
543.jpg,DR,309267
544.jpg,DR,626202
545.jpg,DR,849972
546.jpg,DR,539468
547.jpg,DR,305841
548.jpg,DR,301613
549.jpg,DR,333750
550.jpg,DR,347753
551.jpg,DR,321585
552.jpg,DR,322671
553.jpg,DR,334050
554.jpg,DR,332785
555.jpg,DR,342998
556.jpg,DR,881233
557.jpg,DR,822642
558.jpg,DR,693554
559.jpg,DR,880768
560.jpg,DR,854889
561.jpg,DR,841060
562.jpg,DR,851686
563.jpg,DR,635070
564.jpg,DR,938780
565.jpg,DR,1213153
566.jpg,DR,1169419
567.jpg,DR,1257034
568.jpg,DR,1374562
569.jpg,DR,909330
570.jpg,DR,1236412
571.jpg,DR,1313820
572.jpg,DR,1381831
573.jpg,DR,1266194
574.jpg,DR,524747
575.jpg,DR,562869
576.jpg,DR,570055
577.jpg,DR,333355
578.jpg,DR,328997
579.jpg,DR,335369
580.jpg,DR,336651
581.jpg,DR,331420
582.jpg,DR,333165
583.jpg,DR,304732
584.jpg,DR,312514
585.jpg,DR,318767
586.jpg,DR,321543
587.jpg,DR,317944
588.jpg,DR,316811
589.jpg,DR,304022
590.jpg,DR,316824
591.jpg,DR,305506
592.jpg,DR,308865
593.jpg,DR,310018
594.jpg,DR,308849
595.jpg,DR,314806
596.jpg,DR,341065
597.jpg,DR,319262
598.jpg,DR,329366
599.jpg,DR,336349
600.jpg,DR,330004
601.jpg,DR,341729
602.jpg,DR,344414
603.jpg,DR,317007
604.jpg,DR,314634
605.jpg,DR,317538
606.jpg,DR,319689
607.jpg,DR,343948
608.jpg,DR,350860
609.jpg,DR,349995
610.jpg,DR,340132
611.jpg,DR,345430
612.jpg,DR,336016
613.jpg,DR,367130
614.jpg,DR,328075
615.jpg,DR,331019
616.jpg,DR,324902
617.jpg,DR,317414
618.jpg,DR,316813
619.jpg,DR,321010
620.jpg,DR,310161
621.jpg,DR,337938
622.jpg,DR,345553
623.jpg,DR,324014
624.jpg,DR,323061
625.jpg,DR,572839
626.jpg,DR,527668
627.jpg,DR,326780
628.jpg,DR,319245
629.jpg,DR,330093
630.jpg,DR,333342
631.jpg,DR,333378
632.jpg,DR,358572
633.jpg,DR,360939
634.jpg,DR,349051
635.jpg,DR,350724
636.jpg,DR,350862
637.jpg,DR,340465
638.jpg,DR,341994
639.jpg,DR,354966
640.jpg,DR,350382
641.jpg,DR,353520
642.jpg,DR,327562
643.jpg,DR,335293
644.jpg,DR,862499
645.jpg,DR,804281
646.jpg,DR,846601
647.jpg,DR,913441
648.jpg,DR,661615
649.jpg,DR,942116
650.jpg,DR,846534
651.jpg,DR,871032
652.jpg,DR,790622
653.jpg,DR,857702
654.jpg,DR,759314
655.jpg,DR,754507
656.jpg,DR,767229
657.jpg,DR,800538
658.jpg,DR,773124
659.jpg,DR,758808
660.jpg,DR,960817
661.jpg,DR,953417
662.jpg,DR,1006368
663.jpg,DR,936486
664.jpg,DR,953069
665.jpg,DR,690897
666.jpg,DR,726009
667.jpg,DR,681100
668.jpg,DR,681068
669.jpg,DR,701010
670.jpg,DR,802968
671.jpg,DR,744087
672.jpg,DR,687239
673.jpg,DR,1125653
674.jpg,DR,920287
675.jpg,DR,988697
676.jpg,DR,1043110
677.jpg,DR,1019445
678.jpg,DR,867438
679.jpg,DR,964534
680.jpg,DR,917745
681.jpg,DR,892378
682.jpg,DR,880649
683.jpg,DR,894157
684.jpg,DR,785394
685.jpg,DR,1108606
686.jpg,DR,831118
687.jpg,DR,752720
688.jpg,DR,754016
689.jpg,DR,992351
690.jpg,DR,895646
691.jpg,DR,928888
692.jpg,DR,314105
693.jpg,DR,336674
694.jpg,DR,341481
695.jpg,DR,328830
696.jpg,DR,349616
697.jpg,DR,338628
698.jpg,DR,340539
699.jpg,DR,329047
700.jpg,DR,328084
701.jpg,DR,328352
702.jpg,DR,346415
703.jpg,DR,336058
704.jpg,DR,330754
705.jpg,DR,298375
706.jpg,DR,521543
707.jpg,DR,501093
708.jpg,DR,332771
709.jpg,DR,328361
710.jpg,DR,303549
711.jpg,DR,328567
712.jpg,DR,326744
713.jpg,DR,327496
714.jpg,DR,327577
715.jpg,DR,317433
716.jpg,DR,324983
717.jpg,DR,320186
718.jpg,DR,328291
719.jpg,DR,375559
720.jpg,DR,329220
721.jpg,DR,337044
722.jpg,DR,329884
723.jpg,DR,323729
724.jpg,DR,322210
725.jpg,DR,313777
726.jpg,DR,334815
727.jpg,DR,325493
728.jpg,DR,336696
729.jpg,DR,322197
730.jpg,DR,336878
731.jpg,DR,331583
732.jpg,DR,338415
733.jpg,DR,358923
734.jpg,DR,375030
735.jpg,DR,373449
736.jpg,DR,364983
737.jpg,DR,477892
738.jpg,DR,413410
739.jpg,DR,415381
740.jpg,DR,336029
741.jpg,DR,322689
742.jpg,DR,339702
743.jpg,DR,361384
744.jpg,DR,331644
745.jpg,DR,333846
746.jpg,DR,327283
747.jpg,DR,312056
748.jpg,DR,325363
749.jpg,DR,849751
750.jpg,DR,565716
751.jpg,DR,586424
752.jpg,DR,822074
753.jpg,DR,324348
754.jpg,DR,317104
755.jpg,DR,318944
756.jpg,DR,306501
757.jpg,DR,316163
